dlga_start:close_window|Aviso: esta linha nunca é exibida. É apenas para armazenar variáveis de conversação.
dlga_start:close_window.1|Essa pessoa parece bastante ocupada. Eu não acho que deveria interromper...
dlga_start:pope_request|{Bem-vindo/Bem-vinda} a minha corte, {playername}. Como você sabe, eu sou o Papa, sou o Papa Gregório XVIII. Ser o Papa traz um fardo pesado, cuidar da criação de Deus. Especialmente quando os perigos estão à espreita no Leste. É por isso que enviamos uma carta pedindo-lhe para vir até aqui. Tenho um pedido a lhe fazer.
dlga_pope_request:pope_request_tell|É uma honra estar no Palácio Papal, sua Santidade. Qual é o pedido que o senhor deseja de mim?
dlga_pope_request_tell:pope_request_final|O Imperador Constantinos Alaiologos, do Império Mithridiano, enviou uma carta desesperadamente suplicante para ajuda militar. O Império Mithridiano uma vez manteve posse da distante terra de Cana no deserto do sul, com Halhmar no norte, mas foi tirada deles séculos atrás. Eles a perderam. A vil ameaça vinda do deserto está dificultando a visita do povo Cristão à Terra Santa. De fato, o Sultão decretou que nenhum Cristão jamais poderia entrar em Hierosolyma sem permissão, que obviamente não será dada pelo senhor local. Nós receamos profundamente desses maléficos invasores Pagãos. É o nosso desejo remover essa ameaça da Terra Santa. Portanto, peço-lhe, oficialmente, que lidere a próxima Cruzada contra esses Pagãos. Liberte a Terra Santa em nome do Senhor. Restabeleça nossos próprios hábitos, costumes e templos neste local sagrado.
dlga_pope_request_final:pope_request_yes_end|Que assim seja. Deus Vult!
dlga_pope_request_final:pope_request_no_end|Infelizmente, não está em meu poder libertar a Terra Santa.
dlga_pope_request_yes_end:close_window|As pessoas são gratas a você, todos nós e eu também, imensamente. Em breve anunciaremos esta nova Cruzada a todas as pessoas da Fé Verdadeira. Deus Vult! É melhor que você parta agora mesmo e procure o acampamento da Cruzada. Espere pelos outros generais, recrute homens fiéis, equipe-se com os melhores braços e liberte a Terra Santa! Você é {apontado/apontada} como {o/a} Advocatus do Santo Sepulcro na conquista de Hierosolyma.
dlga_pope_request_no_end:close_window|Essa é uma resposta amarga ao pedido, amarga não apenas a mim, mas também ao povo Cristão e ao Império Mithridiano. Se você não deseja se tornar {o/a} líder da próxima Cruzada, temos que encontrar um general verdadeiramente fiel.
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Quero adiar a nomeação de um novo lorde até que me consulte com meus súditos.
dlga_award_fief_to_vassal_defer:close_window|Como desejar, {senhor/milady}. Pode decidir isso mais tarde.
dlga_award_fief_to_vassal_2:close_window|Como quiser, {senhor/senhora}. {reg6?Eu serei:{reg7?Você será:{s11} será}} {reg3?a nova lady:o novo lorde} de {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} ainda não possui um gerente. A quem devo atribuir esse cargo?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|{reg0?{s65}:Por favor, {s65}}, gostaria de receber {s1} como minha propriedade. (feudos: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} deveria pertencer a você. (feudos: {s0})
dlga_center_captured_rebellion_2:close_window|Hmmm. Muito bem, {playername}. Aprecio muito o seu conselho. {reg6?Eu:{reg7?Você:{s11}}} será {reg3?a nova lady:o novo lorde} de {s1}.
dlga_start:fighter_talk|Saudações, amigo. Estamos aqui melhorando nossas habilidades de combate com um pouco de prática direta. Parece que um pouco de treinamento também lhe cairia bem. Por que não junta-se a nós? Poderíamos ensinar-lhe alguns truques. E se precisar de alguma explicação sobre qualquer conceito de combate, basta simplesmente perguntar e eu tentarei ajudá-lo com todo meu esforço.
dlga_start:fighter_talk.1|O que deseja praticar?
dlga_fighter_pretalk:fighter_talk|Diga-me, o que deseja praticar?
dlga_fighter_talk:fighter_talk_train_attack|Quero praticar o ataque.
dlga_fighter_talk:fighter_talk_train_parry|Quero praticar o bloqueio com minha arma.
dlga_fighter_talk:fighter_talk_train_combat|Vamos praticar o combate direto.
dlga_fighter_talk:close_window|[Deixar]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Está bem. Há quatro principais direções para atacar. São elas: na cabeça, direita, esquerda e estocada. Agora, ensinarei em que direção deves atacar para que possa fazer corretamente. ^^(Mova seu mouse enquanto pressiona o botão esquerdo para especificar a direção do ataque. Por exemplo, para executar um ataque do alto, mova o mouse para cima no momento em que o botão esquerdo é pressionado. Os ícones na tela o ajudarão a praticar a ação correta).
dlga_fighter_talk_train_attack_2:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Diferentemente de um escudo, bloqueando com a própria arma você conseguirá deter apenas os ataques procedentes de uma única direção. Por exemplo, se você dirigir o seu olhar para cima, desviará os ataques que vêm do alto, mas ainda poderá ser atingido por um golpe lateral ou por uma estocada. ^^(Pressione e segure o botão direito do mouse para bloquear).
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Agora irei atacá-lo com diferentes tipos de golpes e vou esperar até que você bloqueie corretamente antes de atacá-lo. Tente preparar o bloqueio correto, logo que possível. ^^(Esta prática é fácil de fazer com a opção de "bloqueio automático" ativada como padrão. Se for ao menu de "Opções Gerais" você poderá selecionar bloquear a direção manualmente. Isto torna o combate muito mais difícil, porém, mais interessante).
dlga_fighter_talk_train_parry_3:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|O combate direto é uma excelente forma de preparação para um combate real. Agora vamos combater uns aos outros com armas não letais, até que um de nós caia no chão. Você poderá concluir a prática com algumas contusões, é claro, mas é melhor do que receber cortes de graves consequências.
dlga_fighter_talk_train_combat_2:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_start:fighter_parry_try_again|Muito bem! Você conseguiu bloquear meus ataques com sucesso. Você pode repetir esta prática e tentar fazê-la cada vez mais rápido, até que esteja seguro de que suas habilidades de defesa são suficientes. Quer tentar de novo?
dlga_start:fighter_parry_try_again.1|Bem, isso não foi muito bom, certo? (Lembre-se, você deve pressionar e segurar o botão direito do mouse para manter um bloqueio efetivo). Gostaria de tentar de novo?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Sim, vamos tentar novamente.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Não, creio que isso já foi o suficiente.
dlga_start:fighter_parry_warn|Hey! Estamos fazendo uma prática de bloqueio, companheiro. Supõe-se que você deve bloquear meus ataques, não me atacar.
dlga_fighter_parry_warn:fighter_talk_train_parry|Desculpe. Dê-me outra oportunidade.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Desculpe, tenho que terminar esta prática agora.
dlga_fighter_talk_leave_parry:close_window|Perfeito. Como quiser.
dlga_start:fighter_combat_try_again|Bem, isso não foi muito bom, certo? Não se sinta mal por isso, apenas trate de não repetir os mesmos erros da próxima vez. Gostaria de tentar de novo?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Sim. Vamos mais uma rodada.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Não. Isso já foi o suficiente.
dlga_fighter_talk_leave_combat:close_window|Bem, então perfeito. Diga-me novamente, se mudar de ideia.
dlga_start:fighter_combat_try_again.1|Ei, isso foi bom. Você me derrotou, mas da próxima vez eu terei mais cuidado. Quer tentar de novo?
dlga_start:fighter_talk.2|Muito bem! Você aprendeu como atacar a partir da direção que você deseja. Se quiser, podemos tentar isso de novo ou partir para um tipo diferente de exercício.
dlga_start:archer_challenge_2|Nada mal. Não está tão mau! Parece que você compreendeu as noções básicas de tiro com arco. Agora, tente fazer o mesmo com uma besta. Pegue a besta e os dardos ali e dispare para esses três alvos. A besta é muito mais fácil de disparar que o arco, porém é necessário que você a recarregue-a depois de cada disparo.
dlga_start:archer_challenge_2.1|Bom. A besta não foi tão difícil. Em seguida, você aprenderá a utilizar as armas de arremesso. Reúna as lanças que você encontrar e tente acertá-las nesses três alvos.
dlga_start:ranged_end|Bem, você tem praticado as habilidades básicas para usar três tipos de armas de longo alcance. O resto aprenderá com a prática. Treinando todos os dias, com o tempo você se tornará tão bom quanto os melhores atiradores de Calradia.
dlga_ranged_end:close_window|Agora, você pode falar com os guerreiros ou com o instrutor de montaria, se você ainda não tiver feito isso. Eles podem lhe ensinar importantes habilidades.
dlga_start:archer_talk|Bom dia, meu jovem. Passo meus dias ensinando tudo o que sei sobre armas de longo alcance a qualquer pessoa que esteja disposta a aprender. Você precisa de um treinador? Eu poderia lhe ensinar como usar o arco, a besta e as lanças de longo alcance.
dlga_archer_talk:archer_challenge|Sim, me ensine a usar as armas de longo alcance.
dlga_archer_talk:close_window|Não, agora não.
