lockitver|DO NOT DELETE THIS LINE! 2896
menu_start_game_0|Bem-vindo(a), aventureiro(a), ao Warband - Nova Aetas! Nos próximos passos, você criará seu personagem e sua história. Vamos primeiro apresentar uma nova Calradia para você.^^O ano de nosso Senhor, 1423, mais de mil anos após a queda do grande Império (Para contextualização o Native se passa em 1257). Uma Nova Era começou para Calradia. Estudiosos encontraram novas maneiras de reunir conhecimento, reis para ganhar e manter o poder, mercadores para se tornarem mais ricos e influentes. O outrora temeroso Khanato Khergita está desmoronando. E, no entanto, os reinos de Calradia estão lutando entre si, ignorando um perigo maior à espreita no Oriente. A Idade das Trevas terminou. É hora de esclarecer todos nós. O Renascimento começou! É uma época de inovação. Fontes clássicas nos ensinam a otimizar arquitetura, arte, ciência, música e vamos pensar em idéias filosóficas, pontos de vista e opiniões. ^ Nas últimas décadas, o outrora terrível reino nórdico desmoronou. Amargura, ira e profunda desunião religiosa predominam. Um homem se levantará e unirá os povos nórdicos sob uma bandeira, um rei e uma fé novamente? Qual homem é capaz e... será cristão ou pagão? ^^ Além disso, um antigo Império, quase esquecido e condenado a estar em um lugar isolado, o Império Mithridiano está começando a dar seu último suspiro. O Grande Desacordo entre o Imperador e o Papa, desde 1054, um fato lamentável, deixou um legado de desconfiança e desaprovação. Uma lei de quatro séculos impede que pessoas de fora entrem nas ilhas. Mas o imperador agora está em profunda necessidade de ajuda dessas nações ocidentais. Os muçulmanos são quase invencíveis. Será que este outrora grande Império, outrora chamado Império Calrárico, continuará a sobreviver? Além disso, o sultão Abdulhamid promulgou um decreto que proíbe todo cristão de entrar na Cidade Santa de Hierosolyma sem a permissão do prefeito local. Isto levou a um choque e difamação difundida entre o mundo cristão. Como reagirá o papa em Aldurias? Durante os primeiros anos deste século, ricos mercadores ressuscitaram a cidade há muito esquecida de Zendar. O Doge lidera esta República Mercante. O porto desta cidade é a porta de entrada para o oeste. Exploradores com navios fizeram a maior descoberta destes tempos! Há mais do que apenas Calradia, há terra no oeste! Isso tudo provou que Zendar é uma das cidades prósperas deste mundo! ^^ É hora de você começar sua aventura... ^ 
mno_continue|Continuar...
mno_go_back|Retornar
menu_start_phase_2|Você já ouviu falar muito sobre Calradia. Uma terra dividida entre reinos rivais que buscam a supremacia, um refúgio para cavaleiros e mercenários, assassinos e aventureiros, todos dispostos a arriscar suas vidas em busca de fortuna, poder, ou glória... Nesta terra cheia de perigos e oportunidades você acredita que pode deixar seu passado para trás e começar uma nova vida. Parece sentir que a chave de seu destino está agora em suas mãos, você é livre para escolher e, seja qual for o seu caminho, grandes aventuras {o/a} esperam. Atraíd{o/a} pelas histórias que havia escutado sobre Calradia e seus reinos, você...
mno_town_1|Une-se a uma caravana para Praven, no Reino da Swadia.
mno_town_2|Une-se a uma caravana para Reyvadin, no Reino de Vaegir.
mno_town_3|Une-se a uma caravana para Tulga, no Khanato Khergita.
mno_town_4|Embarca em um navio para Sargoth, no Reino do Norte.
mno_town_5|Embarca em um navio para Jelkala, no Reino Rhodok.
mno_town_6|Une-se a uma caravana para Hashalla, no Sultanato Sarranide.
menu_start_game_3|Escolha seu cenário:
menu_tutorial|Você se aproxima de um campo onde os habitantes locais treinam com armas. Aqui poderá praticar para melhorar suas habilidades de combate.
mno_go_back_dot|Retornar.
menu_reports|Renome: {reg5}^Honra: {reg6}^Moral do exército: {reg8}^Limite de tropas: {reg7}^
mno_character_reports|Relatórios Pessoais
mno_factions_reports|Relatórios do Reino
mno_cheats_reports|Relatórios de trapaça
mno_return_to_map|Retornar para o mapa
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|A batalha está terminada. {s1} Seu lado matou {reg5} inimigos e perdeu {reg6} tropas na batalha. Pessoalmente, você matou {reg7} homens.
menu_start_game_1|Escolha o gênero do seu personagem.
mno_quick_character|Personagem Rápido (Para testar o mod)
mno_start_male|Masculino
mno_start_female|Feminino
menu_start_character_1|Você nasceu há anos em uma terra distante. Seu pai era...
mno_start_noble|Um nobre empobrecido.
