ip_morale|Moral
ip_morale_text|A moral representa a capacidade e disposição das tropas em um exército para reunir a resistência, o valor e a disciplina necessária para enfrentar o frenesi dos combates e das longas marchas. Não é o mesmo que a felicidade das tropas. Tropas de elite podem queixar-se e lamentar-se das dificuldades da campanha, mas logo permanecerão firmemente unidas quando as flechas começarem a voar. Por outro lado, um comandante que dá a seus homens tudo o que lhe pedem pode vir a criar uma tropa muito acomodada, que abandonará a luta ante o avanço inimigo.^^O maior impacto da moral é sobre o comportamento do exército em plena batalha. Ela determina a agressividade das tropas ao enfrentar o inimigo, assim como a probabilidade de que seu espírito venha abaixo e todos fujam apavorados enquanto têm a sensação de que o futuro da batalha está se decidindo contra eles. A moral também afeta a velocidade de um exército em marcha, dado que tropas menos motivadas se moverão mais lentamente, já que os homens não se sentirão motivados a avançar com todas as suas forças e irão querer descansar mais frequentemente, esperando os retardatários. Por fim, um exército com a moral muito baixa começará a sofrer deserções.^^Alguns fatores que afetam a moral são claramente intuitivos. Por exemplo, um comandante carismático com uma reputação vitoriosa pode infundir em seus homens um sentimento de confiança. Os líderes que proporcionam a seus homens um amplo e variado suprimento de alimentos e provisões, e pagam as soldadas a tempo, demonstram que se preocupam com o bem-estar de suas tropas, e é menos provável que as leve ao desastre.^^Há também outros fatores menos intuitivos, em particular os relativos ao sentido de coesão do exército. Em um pequeno grupo muito unido, por exemplo, os homens frequentemente se mostrarão resistentes contra todos os prognósticos desalentadores que enfrentarem, para evitar demonstrar covardia diante dos seus companheiros de armas. Um grande exército, no entanto, pode ter uma fraca coesão, já que o comandante tem menos tempo para supervisionar diretamente a seus homens, ouvir suas queixas, e resolver suas controvérsias. As frequentes batalhas fortalecerão os laços entre os homens, enquanto que os longos períodos de tempo ocioso farão com que as tropas se aborreçam e relaxem muito.^^O relatório da moral, acessível ao clicar no botão "relatórios", permite ao jogador observar como os diferentes fatores afetam a moral de seus homens a cada momento.
ip_economy|Economia
ip_economy_text|As cidades e aldeias da Calradia necessitam de uma ampla variedade de bens para que sua população permaneça saudável e produtiva. O primeiro lugar em importância é a comida. O grão é o cultivo básico em toda a Calradia, mas as pessoas também precisam de gorduras e proteínas na forma de carne, pescado ou queijo. Conservar a carne exige quase tanto trabalho quanto produzi-la, por isso que há também grande demanda de sal. Depois da comida vem a roupa: lã grossa, tecido leve, ou veludo de luxo. Por último, todos precisam das ferramentas próprias de seu ofício: artigos de ferramentaria, cerâmica, marroquinaria, e, é claro, armaduras, armas e cavalos para a guerra.^^A maioria dos produtos agrícolas são produzidos nas aldeias, enquanto que os artesãos nas cidades emergentes se especializam na fabricação de produtos artesanais, tais como tecidos ou artigos de ferramentaria. Além disso, os diferentes recursos podem ser encontrados em diferentes partes do país. Consequentemente, a chave para a prosperidade na Calradia é o comércio, tanto entre as aldeias e as cidades como entre as cidades mais importantes.^^Quando o comércio flui, os bens estarão disponíveis e acessíveis, a população de uma localidade será saudável e vigorosa, e as pessoas imigrarão das regiões próximas. Uma população que produz mais, consome mais, e poderá contribuir com mais impostos aos seus senhores. Quando o comércio fica estagnado, no entanto, as cidades e aldeias irão ver seus trabalhadores buscar trabalho em outros lugares, e a atividade econômica ficará estagnada. Portanto, deve ser de interesse dos governantes proteger as rotas comerciais dos perigos da guerra e da bandidagem. Um mercador inteligente, no entanto, pode desejar buscar cidades que tenham ficado isoladas do resto do território, para tentar converter o desequilíbrio de preços em uma ganância clara.^^Pelo fato dos aldeões geralmente adquirirem seus produtos no mercado das cidades, os mercados locais florescem de forma tranquila, e os aldeões tendem a comprar barato e vender caro. Mercadores sérios se estabelecem nas cidades para obter os melhores benefícios, ainda que em certas ocasiões possam decidir fazer rápidas paradas em alguma aldeia para comprar suprimentos.^^Um jogador que queira saber mais sobre os fatores que afetam a prosperidade de uma região pode falar com o mestre da guilda da cidade local. Outras informações podem ser obtidas com os transeuntes, ainda que não saibam muito fora de seu próprio comércio particular.^^Os jogadores podem afetar uma economia local, acima de tudo, protegendo o comércio, mas também podem alcançar uma pequena vantagem comercial através do investimento em negócios como os moinhos de farinha. Este tipo de melhorias beneficiará a população e também pode chegar a produzir um pequeno benefício para o próprio jogador. Os negócios mais bem sucedidos são os que produzem bens que são escassos, mas para os quais as matérias-primas são abundantes.
ip_courtship|Cortejo
ip_courtship_text|Os jogadores podem desejar contrair matrimônio com uma das nobres famílias de Calradia. O casamento não é necessário para que um jogador consiga aumentar seu poder e status social, mas sim para dar aos jogadores a oportunidade de melhorar sua relação com os lordes e estabelecer direitos ao trono.^^Os requisitos do matrimônio são distintos para homens e mulheres. Um personagem masculino geralmente terá que seguir o caminho tradicional de cortejo às damas. Ele deve se estabelecer com uma reputação adequada entre a sociedade aristocrática da Calradia, obter boas relações com os pais ou tutores de sua noiva, e depois conquistar a donzela de acordo com o costume local. Se um jogador fica impaciente, ele pode tentar tomar um atalho... mas haverá consequências em suas relações com outros lordes.^^Um personagem masculino deve estar ciente de que outros lordes estarão competindo contra ele pelo amor das damas do reino. Além disso, os gostos de uma dama são imprevisíveis, e um jogador também pode descobrir que o objeto de seu amor não o ama reciprocamente. Os romances, tanto em Calradia como em outros lugares, nem sempre chegam a prosperar. Claro, um jogador pode recorrer a outros meios menos cavalheirescos para ganhar o coração de uma dama, mas novamente, isso irá causar um impacto negativo em sua reputação.^^Para iniciar no caminho do cortejo, um jogador masculino deverá tentar se envolver na vida social da aristocracia calradiana, frequentando a festas e torneios. Além disso, trovadores e poetas errantes podem servir como um bom dispensário de informações úteis sobre o noivado, o que manterá o jogador atualizado sobre os últimos rumores^^Os personagens femininos também podem se casar... mas deverão ter em mente que a sociedade de Calradia é muito tradicional, e, como aventureiras, elas escolheram um caminho pouco convencional para uma mulher. Em todo o caso, um personagem feminino terá que investir um tempo até encontrar um lorde que tenha a mente suficientemente aberta para se casar com ela.^^Sob uma ótica positiva, um personagem feminino não precisa passar pelos elaborados rituais do cortejo, e também pode ganhar mais de um matrimônio que sua contraparte masculina. Para uma mulher aventureira, o casamento pode ser uma rota rápida para o poder, e uma personagem sem escrúpulos pode ser capaz de usar seu marido como uma ferramenta de suas ambições políticas.
ip_politics|Política
ip_politics_text|Os reinos de Calradia, apesar de apresentarem culturas muito diferentes, todos seguem o mesmo sistema político básico: o feudalismo. O feudalismo se baseia nas relações entre os indivíduos: os juramentos de lealdade prestados por um vassalo a seu senhor. Em retorno deste juramento, o vassalo geralmente receberá um feudo, uma porção de terra cujos recursos serão utilizados por ele para recrutar tropas com as quais apoiarão o soberano em tempos de guerra. Um soberano também tem a obrigação de proteger a seus vassalos, e de tratá-los com justiça.^^Assim é como funciona o sistema, na teoria. Na prática, os vassalos nem sempre desempenham seu trabalho em interesse de toda sua facção, já que muitas vezes lutam entre si. Os nobres têm diferentes personalidades, e às vezes elas se chocam. Ou, talvez dois nobres sejam amigos, mas tal relação pode deteriorar-se depois de uma derrota... ou porque ambos pretendem cortejar a mesma dama. O ciúme virá á tona na medida em que competirem entre si pelo favor de seu rei... talvez sobre as terras recém-conquistadas, ou sobre suas pretensões de ser nomeado marechal do reino, o lorde encarregado da organização das campanhas militares do reino em larga escala.^^Quando um reino em Calradia entra em guerra com outro, a unidade política de cada um deles é tão importante quanto a qualidade ou o número de seus soldados para conseguir um resultado vitorioso. Em um reino coeso, os nobres se unirão em uma grande força para varrer seus adversários antes deles. Em um reino dividido por discussões tolas, haverá lordes que não responderão aos chamados de seu marechal, ou se afastarão para atender seus próprios assuntos se a campanha não estiver indo bem. A coesão política de uma facção também afetará a guerra quando as campanhas não estão em andamento. Em uma facção dividida é menos provável que os lordes se juntem aos ataques e patrulhas, e que ajudem na defesa das terras de outros nobres.^^Se parece improdutivo que os nobres se dediquem a discutir e lutar entre si quando o inimigo está no horizonte, tenha em mente, em última instância, que a lealdade de um nobre não está em uma facção ou cultura em particular, e sim em si mesmo e na sua família. Se um nobre teme que sua facção está desmoronando ou que está sendo descuidada por seu senhor, geralmente ele pode encontrar um motivo para retirar seu juramento de fidelidade, e mudar de lado. Os jogadores devem ter isto sempre em mente, já que podem encontrar boas oportunidades para converter antigos inimigos descontentes em novos aliados.
ip_character_backgrounds|Biografia do Personagem
ip_character_backgrounds_text|Nova Aetas (Perguntas frequentes) P: Como posso acessar a visão semanal do relatório do orçamento do reino quando iniciei meu próprio reino? ^ A: Vá para a sua capital e pressione enter para visualizar o relatório de orçamento semanal. ^^ P: Por que não posso usar o Gládio Sagrado ou outros itens sagrados em corpo a corpo? ^ A: É um artefato, um colecionável. Use o Gládio normal. ^^ P: Os ícones do mapa, como o vulcão ou o aqueduto, estão desaparecendo às vezes. ^ A: Esse é o design do Warband. Você precisa manter o nome em sua tela, pois ele desaparece. ^^ P: Toda vez que entro no oceano para o Novo Mundo, continuo sendo direcionado para a interface da cidade de Zendar. ^ A: Você não pode navegar sem uma frota. Primeiro, entre no porto de Zendar, compre navios suficientes e opte por zarpar. ^^ P: Em algumas cenas, não posso sair pela porta. ^ A: Decidi fazer tais saídas obsoletas. Você terá que sair pressionando tab. ^^ P: Várias cidades têm a mesma cena! E cidades em áreas de neve não têm cenas com neve. ^ A: Certo. Como prefeito você pode construir estruturas, para conseguir isto visível, eu tive que remover as cenas únicas para cada característica de cidade ^^ Q: Entrando em Quadra da Igreja ou Praça da Mesquita não adquire uma Igreja ou Mesquita em visão? ^ A: Parece a cidade ainda não construiu uma igreja / mesquita. Talvez por algum tempo? ^^ P: Os nativos da tribo não usam roupas! ^ A: Isso é design. Pode mudar no futuro. ^^ P: Como posso acessar a tecnologia? ^ A: Você tem que ser o líder do seu próprio reino. Em seguida, substitua o Chanceler por um acompanhante. Posteriormente, nomear um mordomo para o Conselho. Fale com ele, aumente os gastos com tecnologia. Agora você investirá semanalmente em pontos tecnológicos. Ao chegar a 1000, seu reino avançará para um novo estágio. Pressione enter na corte da capital para trazer uma visão geral. ^^ P: Como posso ressuscitar o Império Calárdico? ^ A: Comece seu próprio reino, fale com o chanceler (precisa ser um companheiro) e escolha 'Eu quero proclamar o Império de Calrádico '. ^^ P: Como posso restaurar as Ruínas Antigas perto de Praven? ^ A: Para restaurar a antiga capital do Império Calárdico, você deve possuir a cidade de Praven. Tenha seu próprio reino e fale com o chanceler. Escolha 'As ruínas antigas precisam ser restauradas'. ^^ P: Como posso ter minhas colônias povoadas? ^ A: Volte para o Velho Mundo. Visite uma cidade aleatória e vá para as ruas. Fale com as pessoas e escolha 'Eu tenho uma colônia no Novo Mundo. Você está interessado em preenchê-la? '^ P: Por que recebo traços ruins? Apesar disso, escolho uma opção que deve me proporcionar bons traços. ^ A: Se houver um preço vinculado a essa opção, como dinheiro ou Perda de habilidade, então você precisa ter dinheiro suficiente, caso contrário você vai ganhar traços ruins. E se houver uma perda de 2 pontos de habilidade Pele de Ferro, você precisará ter pelo menos dois!
ip_military_campaigns|Campanhas Militares
