itm_no_item|ITEM INVÁLIDO
itm_no_item_pl|ITENS INVÁLIDOS
itm_tutorial_spear|Lança
itm_tutorial_spear_pl|Lança
itm_tutorial_club|Clava
itm_tutorial_club_pl|Clava
itm_tutorial_battle_axe|Machado de Batalha
itm_tutorial_battle_axe_pl|Machado de Batalha
itm_tutorial_arrows|Flechas
itm_tutorial_arrows_pl|Flechas 
itm_tutorial_bolts|Dardos
itm_tutorial_bolts_pl|Dardos
itm_tutorial_short_bow|Arco Curto 
itm_tutorial_short_bow_pl|Arco Curto
itm_tutorial_crossbow|Besta 
itm_tutorial_crossbow_pl|Besta
itm_tutorial_throwing_daggers|Adagas de Arremesso
itm_tutorial_throwing_daggers_pl|Adagas de Arremesso
itm_tutorial_saddle_horse|Cavalo Selado
itm_tutorial_saddle_horse_pl|Cavalo Selado
itm_tutorial_shield|Escudo Grande
itm_tutorial_shield_pl|Escudo Grande
itm_tutorial_staff_no_attack|Bastão
itm_tutorial_staff_no_attack_pl|Bastão
itm_tutorial_staff|Bastão
itm_tutorial_staff_pl|Bastão
itm_tutorial_sword|Espada
itm_tutorial_sword_pl|Espada
itm_tutorial_axe|Machado
itm_tutorial_axe_pl|Machado
itm_tutorial_dagger|Adaga
itm_tutorial_dagger_pl|Adagas
itm_horse_meat|Carne de Cavalo
itm_horse_meat_pl|Carne de Cavalo
itm_practice_sword|Espada de Treinamento
itm_practice_sword_pl|Espada de Treinamento
itm_heavy_practice_sword|Espada Pesada de Treinamento
itm_heavy_practice_sword_pl|Espada Pesada de Treinamento  
itm_practice_dagger|Adaga de Treinamento
itm_practice_dagger_pl|Adagas de Treinamento
itm_practice_axe|Machado de Treinamento
itm_practice_axe_pl|Machado de Treinamento
itm_arena_axe|Machado 
itm_arena_axe_pl|Machado 
itm_arena_sword|Espada
itm_arena_sword_pl|Espada
itm_arena_sword_two_handed|Espada Larga
itm_arena_sword_two_handed_pl|Espada Larga
itm_arena_lance|Lança de Cavalaria
itm_arena_lance_pl|Lança de Cavalaria
itm_practice_staff|Bastão de Treinamento
itm_practice_staff_pl|Bastão de Treinamento
itm_practice_lance|Lança de Cavalaria de Treinamento
itm_practice_lance_pl|Lança de Cavalaria de Treinamento
itm_practice_shield|Escudo de Treinamento
itm_practice_shield_pl|Escudo de Treinamento
itm_practice_javelin|Javelins de Treinamento
itm_practice_javelin_pl|Javelins de Treinamento
itm_practice_javelin_melee|Javelin de Treinamento para Corpo a Corpo
itm_practice_javelin_melee_pl|Javelin de Treinamento para Corpo a Corpo
itm_practice_throwing_daggers|Adagas de Arremesso
itm_practice_throwing_daggers_pl|Adagas de Arremesso
itm_practice_throwing_daggers_100_amount|Adagas de Arremesso
itm_practice_throwing_daggers_100_amount_pl|Adagas de Arremesso
itm_practice_horse|Cavalo de Treinamento
itm_practice_horse_pl|Cavalo de Treinamento
itm_practice_arrows|Flechas de Treinamento
itm_practice_arrows_pl|Flechas de Treinamento
itm_practice_bolts|Dardos de Treinamento
itm_practice_bolts_pl|Dardos de Treinamento
itm_practice_arrows_10_amount|Flechas de Treinamento
itm_practice_arrows_10_amount_pl|Flechas de Treinamento
itm_practice_arrows_100_amount|Flechas de Treinamento
itm_practice_arrows_100_amount_pl|Flechas de Treinamento
itm_practice_bolts_9_amount|Dardos de Treinamento
itm_practice_bolts_9_amount_pl|Dardos de Treinamento
itm_practice_boots|Botas de Treinamento
itm_practice_boots_pl|Botas de Treinamento
itm_red_tourney_armor|Armadura Vermelha de Torneios
itm_red_tourney_armor_pl|Armadura Vermelha de Torneios
itm_blue_tourney_armor|Armadura Azul de Torneios
itm_blue_tourney_armor_pl|Armadura Azul de Torneios
itm_green_tourney_armor|Armadura Verde de Torneios
itm_green_tourney_armor_pl|Armadura Verde de Torneios
itm_gold_tourney_armor|Armadura Dourada de Torneios
itm_gold_tourney_armor_pl|Armadura Dourada de Torneios
itm_red_tourney_helmet|Elmo Vermelho de Torneios
itm_red_tourney_helmet_pl|Elmo Vermelho de Torneios
itm_blue_tourney_helmet|Elmo Azul de Torneios
itm_blue_tourney_helmet_pl|Elmo Azul de Torneios
itm_green_tourney_helmet|Elmo Verde de Torneios
itm_green_tourney_helmet_pl|Elmo Verde de Torneios
itm_gold_tourney_helmet|Elmo Dourado de Torneios
itm_gold_tourney_helmet_pl|Elmo Dourado de Torneios
itm_arena_shield_red|Escudo
itm_arena_shield_red_pl|Escudo
itm_arena_shield_blue|Escudo
itm_arena_shield_blue_pl|Escudo
