qstr_Artillery|Artilharia
qstr_Blow_on_Fire|Soprar
qstr_Heaten_Iron_Rod|Aquecer
qstr_Take_Rough_Iron_Rod|Barra de ferro bruto
qstr_Forge_an_Ironwork|Forjar
qstr_Cool_Down|Esfriar
qstr_Polish_Item|Polir
qstr_Flatten_Iron_Rod|Martelar
qstr_Use_Workbench|Mesa de Trabalho
qstr_Use_Writing_Desk|Escrivaninha
qstr_Workshop_Inventory|Inventário da Oficina
qstr_Use_Pole_Lathe|Torno
qstr_Use_Pole_Rounder|Polidor
qstr_Saw_Timber_Beam|Serrar Madeira
qstr_Smooth_Panel|Lixar Painel
qstr_Saw_Pole|Serrar
qstr_Apply_Varnish|Aplicar Verniz
qstr_Carve_Panel|Esculpir Painel
qstr_Use_Shave_Horse|Cavalete de Raspagem
qstr_Fill_Mine_Cart|Encher o Carrinho
qstr_Empty_Mine_Cart|Carrinho Vazio
qstr_Take_Control|Controlar
qstr_Load_Cannon|Carregar Canhão
qstr_Fire_Cannon|Disparar Canhão
qstr_Saw_Log|Serrar
qstr_Scrape_Hide|Raspar o Couro
qstr_Write_Parchment|Escrever Pergaminho
qstr_Preach|Pregar
qstr_Celebrate_the_Euchar|Celebrar a Eucaristia
qstr_Lit_Sanctuary_Lamp|Luminária do Santuário
qstr_Give_out_Hosts|Distribuir as Hóstias
qstr_Bake_Hosts|Assar as Hóstias
qstr_In_the_year_of_our_L|No ano de nosso Senhor, uma heróica e vitoriosa cruzada contra os pagãos nos recuperou a Cidade Santa para todo o Cristianismo. Mais uma vez a Cruz estará em Hierosolyma, nossa cidade!
qstr_Crusade_is_Victoriou|A Cruzada foi Vitoriosa!
qstr_The_Holy_city_of_Hie|A cidade sagrada de Hierosolyma foi conquistada por aqueles cães Cristãos! A Cidade Sagrada do Profeta está nas mãos daqueles que sentem ódio à cultura Islâmica e seu legado. A cidade deve ser reconquistada em nome de Allah! Allahu Akbar!
qstr_In_the_year_of_{reg1|No ano de {reg1}, a Cidade Santa de Hierosolyma foi conquistada pelos Cruzados Cristãos. Um dia extremamente doloroso para todo o Islã e alegre para os Cristãos.
qstr_The_Holy_War_against|A Guerra Santa contra os Muçulmanos fracassou completamente. Os principais exércitos da Cruzada estão sendo empurrados de volta para o mar de onde vieram. Cruzados confusos fogem para o deserto. Um dia sombrio para o Cristianismo. Deus está verdadeiramente do nosso lado?
qstr_Crusade_Fails|A Cruzada fracassou.
qstr_Victorious!_The_Isla|Vitória! O Islã é vitorioso e invencível como sempre. Allah nos protegeu dos invasores sangrentos. Estamos agora empurrando-os de volta para o mar de onde vieram.
qstr_The_Holy_War_started|A Guerra Santa iniciada pela Cristandade fracassou completamente. As forças Islâmicas empurraram os invasores para o mar.
qstr_In_the_year_of_our_Lo|No ano de nosso Senhor, um heróico e vitorioso Jihad contra os infiéis nos recuperou a Cidade Santa em nome do Islã. Mais uma vez o Crescente estará em Hierosolyma, na Cúpula da Rocha!
qstr_Jihad_is_Victorious|O Jihad foi Vitorioso!
qstr_The_Holy_city_of_Hier|A cidade sagrada de Hierosolyma foi conquistada pelos pagãos Muçulmanos! A Cidade Santa de Cristo está nas mãos daqueles que não o reconhecem. A cidade deve ser reconquistada em nome de Deus! Deus Vult!
